ttretreeweeweejztetxtt	tre	jastreb bistrooki.
tettettett't'temeo	tet	s tabo, detetom nesrečnim.
tettettett't'temeo	tet	tjà ne morem pohiteti.
wmagettett_tttettt	mag	Vitez je omagal,
,eewgttniazetntmonne	tni	in orgel veličastni glas
,eewgttniazetntmonne	aze	na bledi obrazek pritekla,
eetette:ttttuezeet'	ete	Letela daleko ... A kje dobila je
etet))eetteeetetotej	ete	Letela daleko ... A kje dobila je
etet))eetteeetetotej	tet	Neštetokrat sem mimo vrta šel,
etetetstueetehtekeesi	ete	tak daleč so, kot veter gre,
ttemgmestnaaerdtbniuefql	tem	v grozeče zro temine.
ttemgmestnaaerdtbniuefql	gme	Bogme, kam tako po cesti,
rrtdeaimoeeeltetet,t	tde	Petdeset forintov
eitttteteehttttettt	tet	Nebó gorí od zvezd neštetih,
eitttteteehttttettt	ete	hitri veter, zavej čez goré!
eettttettetttttehi	tet	s tabo, detetom nesrečnim.
tteetgitlleetette)	itl	Kdaj pride solnca luč svitla,
tepet1t,tttttte8eee	tep	»Uh, vi tepci, vi sleparji,
tepet1t,tttttte8eee	epe	Trepetaje, v mokrem žaru
:utte-t'teteteineamt	e-t	»Ná, majka, sprejmi zdravila le-ta,
ttetetmetththeetee	tet	vladal je nešteta ljudstva
ttetetmetththeetee	ete	ko svetega apostola Ivana
tpttt;t0ettfdtveetm	tve	v tajinstveni ljubezni vsako noč
teoezttteeate:ettt	ate	kratek čas delali — krasni metuljčki.
eettteeteteeettter	ete	tih veterc z vodoj poigrava.
eettteeteteeettter	tet	rože iz solzá neštetih?
e:ttt'te,eee''t7p	te,	Šel je iz mesta, na polje, za reko, ki roža tam raste,
tvtqetpetqemeetebeeatttte	pet	Radost se zopet je v srce vrnila,
tvtqetpetqemeetebeeatttte	eme	ah, in teme
tttttnt;eeteeettt	ete	kakó bi objel jo pretesnó,
ettettemnttnstnmeemtttne	tet	Neštetokrat sem mimo vrta šel,
daetttte)tettttttt	aet	Maeterlinck.
eetteeeett'teetet	ete	Brezi veter veje je potresel:
.ttetttottanttette	tet	s tabo, detetom nesrečnim.
.ttetttottanttette	tot	krotke, nežne — hvalo ti stoterno!
teeettetteeirttgt	tet	Nešteto gostov se hladí
s2tttttttttett,ee	tet	na suhe prste šteti ji začela
tntett-teeettttattt	tet	nešteti milijoni.
tntett-teeettttattt	-te	Drže pač na-te poti mnogobrojni,
teiamtaateteomeietttttttt	iam	kot dva črna diamanta
t1ttt',ttttttteet	t',	In poldne mora spet minit',
eeotttttettet,)tte	tet	vladal je nešteta ljudstva
eeotttttettet,)tte	tet	bdim, kot mati nad detetom čuje.
ejttttett'tttettt	ejt	poglejte ga svetnika, vzor-moža!
_tetteetetttetttt	tet	tjà ne morem pohiteti.
_tetteetetttetttt	ete	cvetejo ji lica.
hehttttttttttttttt	heh	zašumi po vrheh,
eettttttttettttet	tet	Nebó gorí od zvezd neštetih,
s0ettettettt'ttet	tet	nešteti milijoni.
s0ettettettt'ttet	tet	Nebó gorí od zvezd neštetih,
nktt'tttteet,_eteett	nkt	z adjunktom šepeče sodnikova hči,
t:eettettettttttt	tet	bdim, kot mati nad detetom čuje.
t:eettettettttttt	tet	nešteti milijoni.
eeatzttttetjtsmtjautt-	tet	Nebó gorí od zvezd neštetih,
umeetneugmnegmeehegeeottx	ume	Neumen je, kdor toži,
umeetneugmnegmeehegeeottx	etn	prevzetni pav, ne, ne, vijolica,
6g-aiiirlsmmaeoegtytaaeze	iii	III
epeefgto9l1etoetvwilioeta	epe	Ej, vse načrte in sklepe razuma
epeefgto9l1etoetvwilioeta	eto	Z lornjeto v prebeli ročici
tegeeotksmtototmttjememe	teg	Ti, tega pisma nisi ti pisala,
ttettaeeretttemoiegepgn	tet	Nešteto gostov se hladí
ttettaeeretttemoiegepgn	ere	Oprosti, da sem se Ti odkril tako odkritosrčno, da sem predrl sam mejo, do katere si Ti prišel. Še enkrat, od zdaj Te ljubim. Ti si človek! Prosim pa te, da to moje pismo sežgeš, ker je pisano samo zate, ki je znaš in je boš umel.
eoeaao,te1oateeettett	ate	spet vrhovi žate —
ttetetnwt?,stnntet7innm'	tet	vladal je nešteta ljudstva
ttetetnwt?,stnntet7innm'	ete	ki lep ji je in dober cvetek vsak —
etunreqnetgeainyezetea	etu	četudi ti ne ljubiš me,
eett,aotet99tnw-aret	ote	vedro čelo potemnjuje,
mat.etetke8zmzeetnt	mat	Vsi drugi, mati, tak prešerno
mat.etetke8zmzeetnt	at.	to moram ti povedati:
teone-eeetewrnemmmttxaap	one	onemoglost je razlíta
teasiocgatteeeea3tkett	asi	luna zasijala je.
teasiocgatteeeea3tkett	gat	potem se da pomagati,
ttrmpetimemqgoiepeaaat38	trm	temno vase strmi.
;akennueyiateeia8est_e	ake	preganjal si oblake!
;akennueyiateeia8est_e	ken	in skril se tam v majčkenih jamicah dveh.
te/jptwetneee7tnsmtoe	etn	gori na sever iz cvetnega juga?
-eemnitmmettt0ttea)tev	emn	Dva ne spita le; temna to noč,
-eemnitmmettt0ttea)tev	mni	In vse luči potemnijo,
vetvnteedmotnujettwt3dnteaej	vet	Ah, njenih lic rudeči cvet
gienewmgte8ceeqeetetngmnet	ien	l'humble et inévitable réalité quotidienne.
gienewmgte8ceeqeetetngmnet	ene	Klanjam se Ti, spoštujem Te in občudujem ker si storil to, kar doslej še ni nihče. Ti si »ausserordentlich feinfuhlig!« Spoznal si me tako rekoč nevede, seveda toliko, kolikor sam sebe jaz poznam. Jaz sem v resnici čuden človek. Življenje vnanjo se mi zdi kot nekaj kar ni moje in kar me samo zanima - Iz tega reflekta duševnega si boš lažje marsikatero pesem razložil - Včasih se mi zdi veliko in lepo, da ga občudujem in se tresem v neki sveti tihoti, včasih pusto, prazno, mrtvo ... Izjokal bi se, ubil bi se! Ljudje se mi zde nekaj grozovito - ne vem kako bi se izrazil - Te utisi se menjavajo včasih hipno in pretresel si me s svojim stavkom »Ali vrag vedi, ta krajina se zdi človeku danes lepa in velika, trenotek potem pa mrtva in prazna -«, ker si mi tako izborno pogodil notranjost. Včasih mislim da sem blazen. Polasti se me "ein dumpfer Zustand" - Tedaj se vidim pogreznjenega v velik kup blata, vse v meni se razpusti, oči mi zazevajo - Vse se mi zdi tuje, brezglasno, neiznosno. Drugič zopet se mi zdi, kot bi plaval v neskončnih krogih, ovit okoli celega sveta, nad zemljo in se ji ostudno zaničujoče rogal in ji pluval v obraz. (Morebiti je ta odtujenost odmev temnih, odtujojočih razmer, med katerimi sem tako čudno rasel ...)
ttttttttetttetttt	tet	Škrjančku več leteti,
ttttttttttettttte	tet	bdim, kot mati nad detetom čuje.
ttttttttttttttett	tet	bdim, kot mati nad detetom čuje.
tttttttttttttette	tet	Nešteto gostov se hladí
tttettttttttttttt	tet	s tabo, detetom nesrečnim.
ttttetttttttttttt	tet	s tabo, detetom nesrečnim.
iwttetumce?eeam8?4mked	tet	rože iz solzá neštetih?
tzetigttgegatetttepteteu	zet	prevzetni županek Pedanj...
tzetigttgegatetttepteteu	eti	tako umrje zadnji v sveti.
_enez'et_eteeeiatge	ene	in zate narejenega,
emsettummeutttyetcu	ems	"Res srečen bi bil zemski rod —
eptedt,3nnmemt):rmeet	ept	ah prostost, neptostost
eptedt,3nnmemt):rmeet	ted	tedaj, ko je zubelj v kaminu žolt
et:tmktteegettetttt	et:	Kakó vzdihuje, moli spet:
et:tmktteegettetttt	ege	brez luči svetlobo po bregeh —
et:tmktteegettetttt	et:	Kakó vzdihuje, moli spet:
teeeeeeta-otteetfteadnit	eta	ostaneta srci in tuji,
t9etejmiteeemtsaeeemt	ete	orel zrastel, odletel je;
t9etejmiteeemtsaeeemt	tej	cvetejo ji lica.
t1etetttttteteete	ete	Maeterlinck.
atteeaint_eeetttt-	int	in za tinto! Vsako tvoje pismo
'tteeerteninee.eiibeitnttt	ert	parfumirana pisma poleg drobnih kuvert. 
'tteeerteninee.eiibeitnttt	rte	vsake dveri zaprte, nanje trkam s prošnjó,
eew7te'leeete.:ete_	ete	svetel, bel je njih nakras,
t3cuatmndetttteeo)bn	nde	svetlih luči v kandelabrih,
tteeeeneitmteletettttt	ene	okrog vráta mlade žene,
eetttttotetetteett	tot	krotke, nežne — hvalo ti stoterno!
eetttttotetetteett	ote	v hišo je potem odšel,
teeget_tt;ebtaimmaiet	ege	brez luči svetlobo po bregeh —
tttttemecmeiazevee	tem	In potlej pride temna noč
tttttemecmeiazevee	eme	na slemenu naznanjala
tetenwtetteeeette:	tet	bdim, kot mati nad detetom čuje.
orotemgtlciattwieitet4	oro	Jutri je poroka njena.
.timmrebnmdzjeettetdemt	.ti	»Oj vsliši nas, sveta Poródica ti!«
.timmrebnmdzjeettetdemt	tim	z zlatim robom naokoli;
jetettenta:zritct-ttnfon	jet	On človek je z belimi jetri, in dolgo
ttteenimt'iwtieewqn/meu	eni	Toda — ženin, on ne gleda
ttteenimt'iwtieewqn/meu	nim	pa jo molil z glasom srečepolnim:
wtumnterntevevemdtneknet	umn	šumna godba mu preseda.
teweettmgttoettmatt	oet	»Poetje!« — on zavpije z glasom hudim —
teweettmgttoettmatt	mat	Oj dobro jutro, hišna mati,
emnitntianttettottm	emn	na temnih rožah trepetá,
emnitntianttettottm	mni	Klanjam se Ti, spoštujem Te in občudujem ker si storil to, kar doslej še ni nihče. Ti si »ausserordentlich feinfuhlig!« Spoznal si me tako rekoč nevede, seveda toliko, kolikor sam sebe jaz poznam. Jaz sem v resnici čuden človek. Življenje vnanjo se mi zdi kot nekaj kar ni moje in kar me samo zanima - Iz tega reflekta duševnega si boš lažje marsikatero pesem razložil - Včasih se mi zdi veliko in lepo, da ga občudujem in se tresem v neki sveti tihoti, včasih pusto, prazno, mrtvo ... Izjokal bi se, ubil bi se! Ljudje se mi zde nekaj grozovito - ne vem kako bi se izrazil - Te utisi se menjavajo včasih hipno in pretresel si me s svojim stavkom »Ali vrag vedi, ta krajina se zdi človeku danes lepa in velika, trenotek potem pa mrtva in prazna -«, ker si mi tako izborno pogodil notranjost. Včasih mislim da sem blazen. Polasti se me "ein dumpfer Zustand" - Tedaj se vidim pogreznjenega v velik kup blata, vse v meni se razpusti, oči mi zazevajo - Vse se mi zdi tuje, brezglasno, neiznosno. Drugič zopet se mi zdi, kot bi plaval v neskončnih krogih, ovit okoli celega sveta, nad zemljo in se ji ostudno zaničujoče rogal in ji pluval v obraz. (Morebiti je ta odtujenost odmev temnih, odtujojočih razmer, med katerimi sem tako čudno rasel ...)
emnitntianttettottm	nit	molil celo kameniti prestol.
emnitntianttettottm	itn	a ne samo ko kamen stanovitna,
emnitntianttettottm	nti	Jaz fantič mlad sem, čujte, mati,
emnitntianttettottm	ian	Kakor Diana od mrzlega mrámorja —
emnitntianttettottm	ant	in fantje skozi vás pojó.
emnitntianttettottm	tet	nešteti milijoni.
emnitntianttettottm	tot	galantni stotnik moj.
gattzmgtenmawtgmdgteteeq	gat	ne morem ti pomagati,
gattzmgtenmawtgmdgteteeq	gte	srečen domov gte, potešen, lahak,
gattzmgtenmawtgmdgteteeq	ten	bolesten, tožen njen smehljaj,
gattzmgtenmawtgmdgteteeq	gte	srečen domov gte, potešen, lahak,
gattzmgtenmawtgmdgteteeq	tet	rože iz solzá neštetih?
gattzmgtenmawtgmdgteteeq	ete	Pa kaj, ko ni ga svetega Florjana
tetttttanuexftatteeeemaw	tet	s tabo, detetom nesrečnim.
tetttttanuexftatteeeemaw	tan	trepetanje zvezd v višavi,
tetttttanuexftatteeeemaw	anu	Ona je ležala na divanu 
tetttttanuexftatteeeemaw	tat	Pes kričí: "Tatjè, za njimi!
tetttttanuexftatteeeemaw	ema	črna tema se vzdigne od vzhoda tam,
jtseuedtin/eqmwteet3in	tse	Prav do zore jokal je Kongfutse …
jtseuedtin/eqmwteet3in	tin	Brazgotine vse in gube
eeoeeet:ttoeetentezetm	et:	Kakó vzdihuje, moli spet:
